group,id,sw id,tcode,sw factors,fred,sw,description
NIPA,1,1,5,0,GDPC1,GDP,"Real Gross Domestic Product, 3 Decimal (Billions of Chained 2012 Dollars)"
NIPA,2,2,5,0,PCECC96,Consumption,Real Personal Consumption Expenditures (Billions of Chained 2012 Dollars)
NIPA,3,3,5,1,PCDGx,Cons:Dur,"Real personal consumption expenditures: Durable goods (Billions of Chained 2012 Dollars), deflated using PCE"
NIPA,4,4,5,1,PCESVx,Cons:Svc,"Real Personal Consumption Expenditures: Services (Billions of 2012 Dollars), deflated using PCE"
NIPA,5,5,5,1,PCNDx,Cons:NonDur,"Real Personal Consumption Expenditures: Nondurable Goods (Billions of 2012 Dollars), deflated using PCE"
NIPA,6,6,5,0,GPDIC1,Investment,"Real Gross Private Domestic Investment, 3 decimal (Billions of Chained 2012 Dollars)"
NIPA,7,7,5,0,FPIx,FixedInv,"Real private fixed investment (Billions of Chained 2012 Dollars), deflated using PCE"
NIPA,8,8,5,1,Y033RC1Q027SBEAx,Inv:Equip&Software,"Real Gross Private Domestic Investment: Fixed Investment: Nonresidential: Equipment (Billions of Chained 2012 Dollars), deflated using PCE"
NIPA,9,9,5,1,PNFIx,FixInv:NonRes,"Real private fixed investment: Nonresidential (Billions of Chained 2012 Dollars), deflated using PCE"
NIPA,10,10,5,1,PRFIx,FixedInv:Res,"Real private fixed investment: Residential (Billions of Chained 2012 Dollars), deflated using PCE"
NIPA,11,11,1,1,A014RE1Q156NBEA,Inv:Inventories,Shares of gross domestic product: Gross private domestic investment: Change in private inventories (Percent)
NIPA,12,12,5,0,GCEC1,Gov.Spending,Real Government Consumption Expenditures & Gross Investment (Billions of Chained 2012 Dollars)
NIPA,13,13,1,1,A823RL1Q225SBEA,Gov:Fed,Real Government Consumption Expenditures and Gross Investment: Federal (Percent Change from Preceding Period)
NIPA,14,14,5,1,FGRECPTx,Real Gov Receipts,"Real Federal Government Current Receipts (Billions of Chained 2012 Dollars), deflated using PCE"
NIPA,15,15,5,1,SLCEx,Gov:State&Local,"Real government state and local consumption expenditures (Billions of Chained 2012 Dollars), deflated using PCE"
